id,name,X2019,TRACTCE,BLKGRPCE,TRACT-BG,City,City2,Hood
1500000US060730027083,"Block Group 3, Census Tract 27.08, San Diego County, California",1875,2708,3,2708-3,San Diego,San Diego,Colina Del Sol
1500000US060730027084,"Block Group 4, Census Tract 27.08, San Diego County, California",1779,2708,4,2708-4,San Diego,San Diego,Colina Del Sol
1500000US060730027091,"Block Group 1, Census Tract 27.09, San Diego County, California",2763,2709,1,2709-1,San Diego,San Diego,Islenair/Fox Canyon/Chollas Creek
1500000US060730027092,"Block Group 2, Census Tract 27.09, San Diego County, California",1707,2709,2,2709-2,San Diego,San Diego,Islenair/Fox Canyon/Chollas Creek
1500000US060730027101,"Block Group 1, Census Tract 27.10, San Diego County, California",1968,2710,1,2710-1,San Diego,San Diego,Chollas Creek
1500000US060730027102,"Block Group 2, Census Tract 27.10, San Diego County, California",2672,2710,2,2710-2,San Diego,San Diego,Chollas Creek
1500000US060730027111,"Block Group 1, Census Tract 27.11, San Diego County, California",2005,2711,1,2711-1,San Diego,San Diego,Oak Park
1500000US060730027112,"Block Group 2, Census Tract 27.11, San Diego County, California",1274,2711,2,2711-2,San Diego,San Diego,Oak Park
1500000US060730027121,"Block Group 1, Census Tract 27.12, San Diego County, California",1634,2712,1,2712-1,San Diego,San Diego,Oak Park
1500000US060730027122,"Block Group 2, Census Tract 27.12, San Diego County, California",1680,2712,2,2712-2,San Diego,San Diego,Oak Park
1500000US060730027123,"Block Group 3, Census Tract 27.12, San Diego County, California",2344,2712,3,2712-3,San Diego,San Diego,Oak Park
1500000US060730028011,"Block Group 1, Census Tract 28.01, San Diego County, California",1610,2801,1,2801-1,San Diego,San Diego,College West
1500000US060730028012,"Block Group 2, Census Tract 28.01, San Diego County, California",1604,2801,2,2801-2,San Diego,San Diego,College West
1500000US060730028031,"Block Group 1, Census Tract 28.03, San Diego County, California",1885,2803,1,2803-1,San Diego,San Diego,College West/Talmadge
1500000US060730028032,"Block Group 2, Census Tract 28.03, San Diego County, California",1382,2803,2,2803-2,San Diego,San Diego,College West/Talmadge
1500000US060730028033,"Block Group 3, Census Tract 28.03, San Diego County, California",636,2803,3,2803-3,San Diego,San Diego,College West/Talmadge
1500000US060730028034,"Block Group 4, Census Tract 28.03, San Diego County, California",994,2803,4,2803-4,San Diego,San Diego,College West/Talmadge
1500000US060730028041,"Block Group 1, Census Tract 28.04, San Diego County, California",2953,2804,1,2804-1,San Diego,San Diego,College West
1500000US060730028042,"Block Group 2, Census Tract 28.04, San Diego County, California",1901,2804,2,2804-2,San Diego,San Diego,College West
